EconomicIndex,EconomicClass
0.06887711842176147,Low
0.1470756933752083,High
0.15955833535404926,High
0.13750329870157363,Low
0.18138411560856793,High
0.12790763130154656,Low
0.21074866593551636,High
0.20769267526723154,High
0.10995472576510516,Low
0.11542235276497673,Low
0.052230528304194314,Low
0.15088087969285935,High
0.0989285837775821,Low
0.1367607374025251,Low
0.22749571831165133,High
0.09171227396581545,Low
0.13106418740734488,Low
0.09089168075502609,Low
0.1301739808092598,Low
0.12089599912977371,Low
0.1198037806682784,Low
0.17045291854589892,High
0.11518962567552324,Low
0.15178180030267036,High
0.11787674316904574,Low
0.020882356623124893,Low
0.0925811275459121,Low
0.17440587776278155,High
0.12664599740500945,Low
0.19926917110122344,High
0.07420540704399416,Low
0.0966877192664853,Low
0.22709537476534888,High
0.22855269962589156,High
0.2005920766883895,High
0.03825942879449485,Low
0.1284129456452869,Low
0.12309193639330512,Low
0.18392661727831927,High
0.1486782420036168,High
0.160019398898111,High
0.06743955248103987,Low
0.14264932937340932,High
0.21852082763802055,High
0.23520575126592655,High
0.04101993434095253,Low
0.1538755789003633,High
0.11905435543530091,Low
0.13891900935846263,Low
0.11083553128432062,Low
0.13681429065422196,Low
0.05387293643674574,Low
0.14330384607415475,High
0.09323930093668008,Low
0.042565871821599086,Low
0.09718252955931629,Low
0.1743645690898456,High
0.21659476959619334,High
0.143129935116281,High
0.06925831404628811,Low
0.04292009586918794,Low
0.25042182663913704,High
0.12484417796594484,Low
0.14200434161974748,High
0.1233231259889347,Low
0.14471797724611402,High
0.07419433375673859,Low
0.14354397409868755,High
0.08387917054990877,Low
0.14370405245301296,High
0.2375648953637134,High
0.20660647022428974,High
0.18510503490164798,High
0.2675701258663905,High
0.2346359475518608,High
0.16468472447480456,High
0.21379603839072261,High
0.1859117017614481,High
0.21026628902518546,High
0.12448365205151589,Low
0.28601820653165705,High
0.09599174345782097,Low
0.19418706845923145,High
0.12889945344370415,Low
0.07619740583173494,Low
0.30907363378753894,High
0.09815653863167613,Low
0.23612520022911482,High
0.10567719260274183,Low
0.1664152873099955,High
0.13532754043608208,Low
0.1412338780014381,Low
0.029087711176152303,Low
0.021003205829992395,Low
0.13412733441090577,Low
0.14847635348158114,High
0.1938394496520419,High
0.11497795637501905,Low
0.09251908058133956,Low
0.18820073490829675,High
0.1178231649655114,Low
0.119249862158891,Low
0.14646250671072758,High
0.10254294801221375,Low
0.12407395344754767,Low
0.20611619773647713,High
0.11719717792280035,Low
0.18070398988122166,High
0.10271526978795943,Low
0.1294707266549099,Low
0.11070580976424894,Low
0.01767336561843384,Low
0.11664370186025468,Low
0.12218864794065422,Low
0.23629596329608438,High
0.06951747822045479,Low
0.13058667918716607,Low
0.08984159361377857,Low
0.13338261552314118,Low
0.13210366838236476,Low
0.22089101451855603,High
0.1353965142754069,Low
0.14925711715631518,High
0.1324055282831856,Low
0.03522610040879113,Low
0.17678838342596567,High
0.15247821500920636,High
0.17501594043371893,High
0.19325394165902782,High
0.1630862462525762,High
0.16422937508069352,High
0.17226560166376664,High
0.20869810541620085,High
0.09486649205924791,Low
0.23238405698185102,High
0.13781495324378723,Low
0.17410357902969842,High
0.11140615951573477,Low
0.21021683535411714,High
0.16394918980748158,High
0.15538939613832356,High
0.07597806443567072,Low
0.0055049862109109,Low
0.049596957950580486,Low
0.05429649883618763,Low
0.1893905118961531,High
0.13227608523797293,Low
0.033629568782144285,Low
0.09405773916544508,Low
0.2300592462763413,High
0.23922305884029263,High
0.047095694090673455,Low
0.2817900283827229,High
0.07996792584973933,Low
0.14519636075792486,High
0.20265713719103023,High
0.06134786516085796,Low
0.11017638931806427,Low
0.14144836492442675,Low
0.11369208420672351,Low
0.18619092937576376,High
0.25001885456781314,High
0.13053600964693748,Low
0.1533382625468662,High
0.17390254642696568,High
0.22117423044219012,High
0.10391181839233357,Low
0.1583266015008818,High
0.169469835192153,High
0.22138624518365352,High
0.2516911551919582,High
0.04534361796230463,Low
0.097822993581085,Low
0.12467185295196866,Low
